Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
bm-ixs-tour-damen-hose-tromsoe-st-2-0-hellgrau-schwarz,Tour Damen Hose Tromsö-ST 2.0 hellgrau-schwarz,Größe,S,,,,,X65329-093-DS,,,Shop location,,0,0,0,0,0,50
bm-ixs-tour-damen-hose-tromsoe-st-2-0-hellgrau-schwarz,Tour Damen Hose Tromsö-ST 2.0 hellgrau-schwarz,,,,,,,,,,,,,,,,,
bm-polsterset-powerdome-mips-black,Polsterset PowerDome Mips - black,Title,Default Title,,,,,ABU250098,,,Shop location,,0,0,0,0,0,50
bm-powerdome-mips-polar-white,PowerDome Mips - polar white,Kopfumfang,S (51 - 55 cm),,,,,ABU250097,,,Shop location,,0,0,0,0,0,50
bm-powerdome-mips-polar-white,PowerDome Mips - polar white,,,,,,,,,,,,,,,,,
bm-powerdome-mips-polar-white,PowerDome Mips - polar white,,,,,,,,,,,,,,,,,
bm-powerdome-mips-polar-white,PowerDome Mips - polar white,,,,,,,,,,,,,,,,,
bm-powerdome-mips-polar-white,PowerDome Mips - polar white,,,,,,,,,,,,,,,,,
bm-powerdome-mips-flip-flop-purple,PowerDome Mips - flip flop purple,Kopfumfang,S (51 - 55 cm),,,,,ABU250096,,,Shop location,,0,0,0,0,0,50
bm-powerdome-mips-flip-flop-purple,PowerDome Mips - flip flop purple,,,,,,,,,,,,,,,,,
bm-powerdome-mips-flip-flop-purple,PowerDome Mips - flip flop purple,,,,,,,,,,,,,,,,,
bm-powerdome-mips-flip-flop-purple,PowerDome Mips - flip flop purple,,,,,,,,,,,,,,,,,
bm-powerdome-mips-flip-flop-purple,PowerDome Mips - flip flop purple,,,,,,,,,,,,,,,,,
bm-powerdome-mips-blaze-red,PowerDome Mips - blaze red,Kopfumfang,S (51 - 55 cm),,,,,ABU250095,,,Shop location,,0,0,0,0,0,50
bm-powerdome-mips-blaze-red,PowerDome Mips - blaze red,,,,,,,,,,,,,,,,,
bm-powerdome-mips-blaze-red,PowerDome Mips - blaze red,,,,,,,,,,,,,,,,,
bm-powerdome-mips-blaze-red,PowerDome Mips - blaze red,,,,,,,,,,,,,,,,,
bm-powerdome-mips-blaze-red,PowerDome Mips - blaze red,,,,,,,,,,,,,,,,,
bm-powerdome-mips-shiny-white,PowerDome Mips - shiny white,Kopfumfang,S (51 - 55 cm),,,,,ABU250094,,,Shop location,,0,0,0,0,0,50
bm-powerdome-mips-shiny-white,PowerDome Mips - shiny white,,,,,,,,,,,,,,,,,
bm-powerdome-mips-shiny-white,PowerDome Mips - shiny white,,,,,,,,,,,,,,,,,
bm-powerdome-mips-shiny-white,PowerDome Mips - shiny white,,,,,,,,,,,,,,,,,
bm-powerdome-mips-shiny-white,PowerDome Mips - shiny white,,,,,,,,,,,,,,,,,
bm-powerdome-mips-velvet-black,PowerDome Mips - velvet black,Kopfumfang,S (51 - 55 cm),,,,,ABU250093,,,Shop location,,0,0,0,0,0,50
bm-powerdome-mips-velvet-black,PowerDome Mips - velvet black,,,,,,,,,,,,,,,,,
bm-powerdome-mips-velvet-black,PowerDome Mips - velvet black,,,,,,,,,,,,,,,,,
bm-powerdome-mips-velvet-black,PowerDome Mips - velvet black,,,,,,,,,,,,,,,,,
bm-powerdome-mips-velvet-black,PowerDome Mips - velvet black,,,,,,,,,,,,,,,,,
bm-woman-ranger-glove-chalk,Woman Ranger Glove - Chalk,Größe,S,,,,,FOR260022,,,Shop location,,0,0,0,0,0,50
bm-woman-ranger-glove-chalk,Woman Ranger Glove - Chalk,,,,,,,,,,,,,,,,,
bm-woman-ranger-glove-chalk,Woman Ranger Glove - Chalk,,,,,,,,,,,,,,,,,
bm-woman-ranger-glove-chalk,Woman Ranger Glove - Chalk,,,,,,,,,,,,,,,,,
bm-woman-ranger-glove-chalk,Woman Ranger Glove - Chalk,,,,,,,,,,,,,,,,,
bm-ranger-glove-brown-sugar,Ranger Glove - Brown Sugar,Größe,S,,,,,FOR260021,,,Shop location,,0,0,0,0,0,50
bm-ranger-glove-brown-sugar,Ranger Glove - Brown Sugar,,,,,,,,,,,,,,,,,
bm-ranger-glove-brown-sugar,Ranger Glove - Brown Sugar,,,,,,,,,,,,,,,,,
bm-ranger-glove-brown-sugar,Ranger Glove - Brown Sugar,,,,,,,,,,,,,,,,,
bm-ranger-glove-brown-sugar,Ranger Glove - Brown Sugar,,,,,,,,,,,,,,,,,
bm-youth-ranger-long-sleeve-jersey-fox-head-galaxy-blue,Youth Ranger Long Sleeve Jersey Fox Head - Galaxy Blue,Größe,YS,,,,,FOR260018,,,Shop location,,0,0,0,0,0,50
bm-youth-ranger-long-sleeve-jersey-fox-head-galaxy-blue,Youth Ranger Long Sleeve Jersey Fox Head - Galaxy Blue,,,,,,,,,,,,,,,,,
bm-youth-ranger-long-sleeve-jersey-fox-head-galaxy-blue,Youth Ranger Long Sleeve Jersey Fox Head - Galaxy Blue,,,,,,,,,,,,,,,,,
bm-youth-ranger-long-sleeve-jersey-fox-head-galaxy-blue,Youth Ranger Long Sleeve Jersey Fox Head - Galaxy Blue,,,,,,,,,,,,,,,,,
